date,balance,level
2026-02-02,4950.0,5000
2026-02-04,5100.0,5000
2026-02-05,5050.0,5000
2026-02-09,5200.0,5000
2026-02-11,5350.0,5000
2026-02-12,5300.0,5000
2026-02-16,5450.0,5000
2026-02-18,5600.0,5000
2026-02-19,5100.0,5000
2026-02-23,5250.0,5000
2026-02-25,5400.0,5000
2026-02-26,5350.0,5000
2026-03-02,5300.0,5000
2026-03-04,5250.0,5000
2026-03-05,5200.0,5000
2026-03-09,5150.0,5000
2026-03-11,5300.0,5000
2026-03-12,5400.0,5000
2026-03-16,5350.0,5000
2026-03-18,5300.0,5000
2026-03-19,5250.0,5000
2026-03-23,5400.0,5000
2026-03-25,5550.0,5000
2026-03-26,5500.0,5000
2026-03-30,5450.0,5000
2026-04-01,5400.0,5000
2026-04-02,5500.0,5000
2026-04-06,5650.0,5000
2026-04-08,5150.0,5000
2026-04-09,5100.0,5000
2026-04-13,5250.0,5000
2026-04-15,5200.0,5000
2026-04-16,5300.0,5000
2026-04-20,5250.0,5000
2026-04-22,5200.0,5000
2026-04-23,5300.0,5000
2026-04-27,5450.0,5000
2026-04-29,5400.0,5000
2026-04-30,5350.0,5000
2026-05-04,5300.0,5000
2026-05-06,5450.0,5000
2026-05-07,5400.0,5000
2026-05-11,5550.0,5000
2026-05-13,5700.0,5000
2026-05-14,7650.0,7500
2026-05-18,7575.0,7500
2026-05-20,7500.0,7500
2026-05-21,7650.0,7500
2026-05-25,7875.0,7500
2026-05-27,7800.0,7500
2026-05-28,7950.0,7500
2026-06-01,7875.0,7500
2026-06-03,7800.0,7500
2026-06-04,7950.0,7500
2026-06-08,7875.0,7500
2026-06-10,8100.0,7500
2026-06-11,8250.0,7500
2026-06-15,8175.0,7500
2026-06-17,8100.0,7500
2026-06-18,8025.0,7500
2026-06-22,8250.0,7500
2026-06-24,8175.0,7500
2026-06-25,8325.0,7500
2026-06-29,8250.0,7500
2026-07-01,8175.0,7500
2026-07-02,8100.0,7500
2026-07-06,8325.0,7500
2026-07-08,8250.0,7500
2026-07-09,8400.0,7500
2026-07-13,7725.0,7500
2026-07-15,7950.0,7500
2026-07-16,7875.0,7500
2026-07-20,7800.0,7500
2026-07-22,7725.0,7500
2026-07-23,7875.0,7500
2026-07-27,8100.0,7500
2026-07-29,8025.0,7500
2026-07-30,8175.0,7500
2026-08-03,8400.0,7500
2026-08-05,7425.0,7500
2026-08-06,7575.0,7500
2026-08-10,7500.0,7500
2026-08-12,7725.0,7500
2026-08-13,7650.0,7500
2026-08-17,7575.0,7500
2026-08-19,7800.0,7500
2026-08-20,7725.0,7500
2026-08-24,7650.0,7500
2026-08-26,7875.0,7500
2026-08-27,7800.0,7500
2026-08-31,8025.0,7500
2026-09-02,8250.0,7500
2026-09-03,8400.0,7500
2026-09-07,9900.0,10000
